"level","position","tech_stack","experience","gender","company","company_size","work_type","city","currency","salary_for_other_currency","salary_for_tl_currency"
"Middle","Back-end Developer",".Net, Flutter","3 - 5 Yıl","Erkek","Startup","25 - 50 Kişi","Ofis","İstanbul","₺ - Türk Lirası",,"17.000 TL - 17.999 TL"
"Junior","Full Stack Developer",".Net, Swift / Objective C, JavaScript | Html | Css, React, React Native","1 - 3 Yıl","Erkek","Startup","25 - 50 Kişi","Ofis","İstanbul","€ - Euro","2.000 - 2.999",
"Junior","Full Stack Developer","Php, React, Angular","1 - 3 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"11.000 TL - 11.999 TL"
"Middle","Front-end Developer","React, Vue","1 - 3 Yıl","Erkek","Kurumsal","250+","Remote","İzmir","$ - Dolar","2.000 - 2.999",
"Senior","Team / Tech Lead",".Net, JavaScript | Html | Css, React","10 - 14 Yıl","Erkek","Outsource","250+","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası",,"25.000 TL - 25.999 TL"
"Senior","Team / Tech Lead","Java, .Net, Python, JavaScript | Html | Css, React, Angular","15 Yıl ve üzeri","Erkek","Startup","10 - 25 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"18.000 TL - 18.999 TL"
"Junior","Full Stack Developer","Lowcode platformlar servicenow,pega","0 - 1 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"8.000 TL - 8.999 TL"
"Middle","Back-end Developer","Python","1 - 3 Yıl","Erkek","Kurumsal","250+","Remote","Yurt Dışı","₺ - Türk Lirası",,"25.000 TL - 25.999 TL"
"Middle","Back-end Developer",".Net","3 - 5 Yıl","Erkek","Outsource","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"21.000 TL - 21.999 TL"
"Senior","Back-end Developer","Java","5 - 7 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"20.000 TL - 20.999 TL"
"Middle","Full Stack Developer","Java, .Net, Python, JavaScript | Html | Css","3 - 5 Yıl","Kadın","Diğer","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"10.000 TL - 10.999 TL"
"Junior","Front-end Developer","Java, JavaScript | Html | Css","0 - 1 Yıl","Erkek","Kurumsal","25 - 50 Kişi","Pandemi Nedeniyle; Geçici Olarak Remote","Ankara","₺ - Türk Lirası",,"7.000 TL - 7.999 TL"
"Middle","Back-end Developer","Java","3 - 5 Yıl","Erkek","Yazılım & Teknoloji","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Senior","Team / Tech Lead",".Net, JavaScript | Html | Css","15 Yıl ve üzeri","Erkek","Kurumsal","25 - 50 Kişi","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası",,"13.000 TL - 13.999 TL"
"Senior","Front-end Developer","JavaScript | Html | Css, Vue","7 - 10 Yıl","Erkek","Startup","1 - 10 Kişi","Remote","Yurt Dışı","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Junior","Front-end Developer","Angular","0 - 1 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"6.000 TL - 6.999 TL"
"Junior","Back-end Developer","Java","0 - 1 Yıl","Erkek","Startup","10 - 25 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"8.000 TL - 8.999 TL"
"Senior","Back-end Developer","Php","5 - 7 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"22.000 TL - 22.999 TL"
"Senior","Back-end Developer",".Net, Go, JavaScript | Html | Css","5 - 7 Yıl","Erkek","Startup","250+","Remote","İstanbul","₺ - Türk Lirası",,"27.000 TL - 27.999 TL"
"Senior","Software Development Manager","Java, Go, Python","10 - 14 Yıl","Erkek","Startup","25 - 50 Kişi","Remote","İstanbul","$ - Dolar","7.000 - 7.999",
"Junior","Full Stack Developer",".Net, Python, Angular","1 - 3 Yıl","Erkek","Kurumsal","1 - 10 Kişi","Hibrit (Ofis + Remote)","İzmir","₺ - Türk Lirası",,"6.000 TL - 6.999 TL"
"Middle","Embedded Software Developer","C / C++","1 - 3 Yıl","Erkek","Kurumsal","250+","Ofis","Ankara","₺ - Türk Lirası",,"13.000 TL - 13.999 TL"
"Senior","Game Developer","Unity","3 - 5 Yıl","Erkek","Oyun","10 - 25 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"30.000 TL - 30.999 TL"
"Junior","Back-end Developer",".Net, JavaScript | Html | Css","1 - 3 Yıl","Erkek","Outsource","10 - 25 Kişi","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası",,"10.000 TL - 10.999 TL"
"Junior","Back-end Developer",".Net","0 - 1 Yıl","Erkek","Startup","25 - 50 Kişi","Ofis","İstanbul","₺ - Türk Lirası",,"6.000 TL - 6.999 TL"
"Junior","Mobile Application Developer","Swift / Objective C","1 - 3 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"13.000 TL - 13.999 TL"
"Junior","Front-end Developer","JavaScript | Html | Css, React","1 - 3 Yıl","Erkek","Kurumsal","10 - 25 Kişi","Ofis","İstanbul","₺ - Türk Lirası",,"5.000 TL - 5.999 TL"
"Junior","Embedded Software Developer","C / C++","0 - 1 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"13.000 TL - 13.999 TL"
"Middle","Full Stack Developer","Java, JavaScript | Html | Css","1 - 3 Yıl","Kadın","Kurumsal","250+","Ofis","Ankara","₺ - Türk Lirası",,"11.000 TL - 11.999 TL"
"Middle","Data Scientist","Python","3 - 5 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"18.000 TL - 18.999 TL"
"Junior","Game Developer","Unity","1 - 3 Yıl","Erkek","Oyun","25 - 50 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"9.000 TL - 9.999 TL"
"Middle","Mobile Application Developer","Swift / Objective C","3 - 5 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Senior","Full Stack Developer","Php, JavaScript | Html | Css, Flutter","7 - 10 Yıl","Erkek","Kurumsal","1 - 10 Kişi","Ofis","Gaziantep","₺ - Türk Lirası",,"6.000 TL - 6.999 TL"
"Middle","Front-end Developer","JavaScript | Html | Css, React, Vue","1 - 3 Yıl","Kadın","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Junior","Back-end Developer","Java, .Net, JavaScript | Html | Css","0 - 1 Yıl","Erkek","Kurumsal","250+","Remote","İzmir","₺ - Türk Lirası",,"9.000 TL - 9.999 TL"
"Senior","Team / Tech Lead","Python","10 - 14 Yıl","Erkek","E-Ticaret","250+","Pandemi Nedeniyle; Geçici Olarak Remote","Yurt Dışı","€ - Euro","5.000 - 5.999",
"Senior","Back-end Developer","Php, JavaScript | Html | Css, Vue","10 - 14 Yıl","Erkek","Outsource","10 - 25 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"14.000 TL - 14.999 TL"
"Middle","Back-end Developer","Node.js","3 - 5 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"26.000 TL - 26.999 TL"
"Senior","Back-end Developer","Php, Go, JavaScript | Html | Css, Vue, Angular","7 - 10 Yıl","Erkek","Startup","50 - 100 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"19.000 TL - 19.999 TL"
"Senior","Mobile Application Developer","Kotlin","5 - 7 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"25.000 TL - 25.999 TL"
"Middle","Back-end Developer","Java","3 - 5 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Middle","Full Stack Developer","JavaScript | Html | Css, Vue, Node.js","1 - 3 Yıl","Erkek","Startup","25 - 50 Kişi","Remote","Konya","$ - Dolar","2.000 - 2.999",
"Middle","Team / Tech Lead","Python","3 - 5 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"22.000 TL - 22.999 TL"
"Middle","Full Stack Developer","Php, Flutter","3 - 5 Yıl","Erkek","Kurumsal","25 - 50 Kişi","Ofis","Yurt Dışı","₺ - Türk Lirası",,"9.000 TL - 9.999 TL"
"Senior","Full Stack Developer","Java, React","5 - 7 Yıl","Erkek","Startup","25 - 50 Kişi","Remote","İzmir","₺ - Türk Lirası",,"30.000 TL - 30.999 TL"
"Middle","Front-end Developer","JavaScript | Html | Css, React, Vue","3 - 5 Yıl","Erkek","Outsource","250+","Hibrit (Ofis + Remote)","İstanbul","€ - Euro","2.000 - 2.999",
"Senior","Front-end Developer","JavaScript | Html | Css, Vue","5 - 7 Yıl","Erkek","E-Ticaret","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"20.000 TL - 20.999 TL"
"Senior","Full Stack Developer","Php, JavaScript | Html | Css","10 - 14 Yıl","Erkek","Startup","25 - 50 Kişi","Hibrit (Ofis + Remote)","İstanbul","€ - Euro","2.000 - 2.999",
"Senior","Back-end Developer","Java","10 - 14 Yıl","Erkek","Startup","25 - 50 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"25.000 TL - 25.999 TL"
"Middle","Full Stack Developer","JavaScript | Html | Css, Angular","3 - 5 Yıl","Erkek","Startup","1 - 10 Kişi","Remote","İstanbul","€ - Euro","2.000 - 2.999",
"Senior","Team / Tech Lead","Php, JavaScript | Html | Css, React, Vue","10 - 14 Yıl","Erkek","Kurumsal","25 - 50 Kişi","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"20.000 TL - 20.999 TL"
"Senior","Back-end Developer","Node.js","5 - 7 Yıl","Erkek","E-Ticaret","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"18.000 TL - 18.999 TL"
"Middle","Back-end Developer","Java, .Net","1 - 3 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"17.000 TL - 17.999 TL"
"Junior","Game Developer","Unity, C#","1 - 3 Yıl","Erkek","Startup","1 - 10 Kişi","Ofis","Bolu","₺ - Türk Lirası",,"5.000 TL - 5.999 TL"
"Senior","Software Architect","sap abap","7 - 10 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"23.000 TL - 23.999 TL"
"Middle","Back-end Developer","Java, Python","5 - 7 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası",,"17.000 TL - 17.999 TL"
"Senior","Full Stack Developer",".Net, JavaScript | Html | Css, Angular","5 - 7 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Remote","İstanbul","$ - Dolar","2.000 - 2.999",
"Junior","Back-end Developer","Java","1 - 3 Yıl","Erkek","Outsource","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"9.000 TL - 9.999 TL"
"Middle","RPA Developer","UiPath","1 - 3 Yıl","Erkek","Outsource","100 - 250 Kişi","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"16.000 TL - 16.999 TL"
"Senior","Back-end Developer",".Net","5 - 7 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"19.000 TL - 19.999 TL"
"Middle","Back-end Developer",".Net","3 - 5 Yıl","Erkek","E-Ticaret","1 - 10 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"9.000 TL - 9.999 TL"
"Middle","Full Stack Developer","React, Nodejs","1 - 3 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"16.000 TL - 16.999 TL"
"Junior","Mobile Application Developer","Java, Kotlin","1 - 3 Yıl","Kadın","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"11.000 TL - 11.999 TL"
"Senior","Embedded Software Developer","C / C++","7 - 10 Yıl","Erkek","Kurumsal","250+","Remote","Yurt Dışı","$ - Dolar","2.000 - 2.999",
"Middle","Back-end Developer","Java, Kotlin","3 - 5 Yıl","Erkek","Outsource","250+","Remote","İstanbul","₺ - Türk Lirası",,"16.000 TL - 16.999 TL"
"Junior","Full Stack Developer",".Net, JavaScript | Html | Css, Jquery","0 - 1 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"5.000 TL - 5.999 TL"
"Junior","Back-end Developer","Java","0 - 1 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"6.000 TL - 6.999 TL"
"Junior","Computer Vision Engineer","Python","0 - 1 Yıl","Erkek","Startup","10 - 25 Kişi","Ofis","İstanbul","₺ - Türk Lirası",,"5.000 TL - 5.999 TL"
"Middle","Full Stack Developer","Go, Vue, Flutter","3 - 5 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası",,"20.000 TL - 20.999 TL"
"Junior","Front-end Developer","JavaScript | Html | Css, React","0 - 1 Yıl","Erkek","E-Ticaret","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Middle","Back-end Developer","Ruby","1 - 3 Yıl","Erkek","E-Ticaret","50 - 100 Kişi","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası",,"19.000 TL - 19.999 TL"
"Middle","Front-end Developer","JavaScript | Html | Css, React","10 - 14 Yıl","Erkek","E-Ticaret","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"28.000 TL - 28.999 TL"
"Middle","QA / Test Automation Developer","Java","3 - 5 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","Yurt Dışı","$ - Dolar","10.000 ve üzeri",
"Senior","Back-end Developer","Go, Python","5 - 7 Yıl","Erkek","Startup","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"22.000 TL - 22.999 TL"
"Middle","Mobile Application Developer","Flutter","1 - 3 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","Kayseri ","₺ - Türk Lirası",,"10.000 TL - 10.999 TL"
"Senior","Back-end Developer","Java, Vue","7 - 10 Yıl","Erkek","Startup","10 - 25 Kişi","Remote","Yurt Dışı","₺ - Türk Lirası",,"20.000 TL - 20.999 TL"
"Senior","Back-end Developer","Java","5 - 7 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"26.000 TL - 26.999 TL"
"Middle","Full Stack Developer","JavaScript | Html | Css, React","3 - 5 Yıl","Erkek","Startup","25 - 50 Kişi","Remote","Yurt Dışı","$ - Dolar","3.000 - 3.999",
"Middle","Full Stack Developer",".Net, JavaScript | Html | Css","3 - 5 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Senior","Full Stack Developer",".Net","7 - 10 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"17.000 TL - 17.999 TL"
"Senior","Back-end Developer",".Net","10 - 14 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Ofis","Malatya","₺ - Türk Lirası",,"27.000 TL - 27.999 TL"
"Junior","Mobile Application Developer","Swift / Objective C","0 - 1 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"8.000 TL - 8.999 TL"
"Senior","Back-end Developer","Php, Perl","7 - 10 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"16.000 TL - 16.999 TL"
"Junior","QA / Test Automation Developer","Postman/SoapUı","0 - 1 Yıl","Kadın","Outsource","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"6.000 TL - 6.999 TL"
"Senior","Back-end Developer","Php, JavaScript | Html | Css","10 - 14 Yıl","Erkek","Kurumsal","250+","Ofis","İstanbul","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Junior","Back-end Developer","Java, .Net, JavaScript | Html | Css, React","0 - 1 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Middle","Front-end Developer","JavaScript | Html | Css, React, Angular","1 - 3 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Senior","Full Stack Developer","Java, React","5 - 7 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İzmir","₺ - Türk Lirası",,"26.000 TL - 26.999 TL"
"Middle","Full Stack Developer","Java","1 - 3 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"16.000 TL - 16.999 TL"
"Junior","Full Stack Developer","JavaScript | Html | Css, Vue","1 - 3 Yıl","Erkek","Startup","10 - 25 Kişi","Hibrit (Ofis + Remote)","Antalya","₺ - Türk Lirası",,"5.000 TL - 5.999 TL"
"Middle","Game Developer","Unity","3 - 5 Yıl","Erkek","Oyun","1 - 10 Kişi","Remote","Diğer","₺ - Türk Lirası",,"25.000 TL - 25.999 TL"
"Senior","Full Stack Developer","Java, .Net, Php, Go, Ruby, Kotlin, Swift / Objective C, JavaScript | Html | Css, Flutter, React Native","7 - 10 Yıl","Erkek","Kurumsal","25 - 50 Kişi","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"6.000 TL - 6.999 TL"
"Middle","Back-end Developer",".Net","3 - 5 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"14.000 TL - 14.999 TL"
"Senior","Full Stack Developer","Php, JavaScript | Html | Css, Vue","7 - 10 Yıl","Erkek","Dijital / Reklam Ajansı","1 - 10 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"10.000 TL - 10.999 TL"
"Senior","Back-end Developer",".Net","10 - 14 Yıl","Erkek","Dijital / Reklam Ajansı","25 - 50 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Junior","Full Stack Developer","Java, Python, JavaScript | Html | Css, React","0 - 1 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İzmir","₺ - Türk Lirası",,"7.000 TL - 7.999 TL"
"Senior","Full Stack Developer",".Net, Vue","5 - 7 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"19.000 TL - 19.999 TL"
"Middle","Full Stack Developer",".Net","1 - 3 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"11.000 TL - 11.999 TL"
"Middle","Back-end Developer","Java, Go, Python","3 - 5 Yıl","Erkek","E-Ticaret","250+","Remote","Ankara","₺ - Türk Lirası",,"27.000 TL - 27.999 TL"
"Senior","Full Stack Developer","Php, Go, Python, Swift / Objective C, JavaScript | Html | Css, React, Vue, React Native","15 Yıl ve üzeri","Erkek","Outsource","1 - 10 Kişi","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","Yurt Dışı","₺ - Türk Lirası",,"14.000 TL - 14.999 TL"
"Middle","Full Stack Developer","Php, JavaScript | Html | Css, Vue","1 - 3 Yıl","Erkek","E-Ticaret","1 - 10 Kişi","Remote","Yurt Dışı","₺ - Türk Lirası",,"13.000 TL - 13.999 TL"
"Middle","Full Stack Developer",".Net, JavaScript | Html | Css, React, React Native","1 - 3 Yıl","Erkek","Startup","10 - 25 Kişi","Remote","Ankara","₺ - Türk Lirası",,"17.000 TL - 17.999 TL"
"Middle","Full Stack Developer",".Net, Vue, Angular","3 - 5 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası",,"21.000 TL - 21.999 TL"
"Senior","Software Development Manager","Java, Kotlin, Swift / Objective C, React","10 - 14 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"39.000 TL - 39.999 TL"
"Middle","Back-end Developer",".Net, Node js","5 - 7 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Junior","Mobile Application Developer","Flutter","0 - 1 Yıl","Erkek","Startup","25 - 50 Kişi","Remote","Yurt Dışı","₺ - Türk Lirası",,"9.000 TL - 9.999 TL"
"Senior","Back-end Developer","Java","5 - 7 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"18.000 TL - 18.999 TL"
"Middle","Front-end Developer","JavaScript | Html | Css, React","1 - 3 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası",,"20.000 TL - 20.999 TL"
"Middle","Back-end Developer","Php, React","1 - 3 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"9.000 TL - 9.999 TL"
"Middle","Front-end Developer","JavaScript | Html | Css, Vue, Flutter","3 - 5 Yıl","Kadın","Outsource","50 - 100 Kişi","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
